true_id,pred_id,count,true_label,pred_label
3,3,23835,0,0
3,6,2721,0,97
3,4,2453,0,32
3,25,2244,0,116
3,13,1448,0,104
3,10,1120,0,101
3,19,764,0,110
3,17,523,0,108
4,3,261,32,0
10,3,171,101,0
3,23,149,0,114
4,4,140,32,32
25,3,136,116,0
20,3,101,111,0
6,3,100,97,0
25,25,95,116,116
4,6,93,32,97
3,20,88,0,111
23,3,79,114,0
10,4,76,101,32
10,10,76,101,101
14,3,75,105,0
13,3,73,104,0
17,17,67,108,108
19,3,66,110,0
24,3,65,115,0
4,25,64,32,116
13,13,63,104,104
3,9,58,0,100
20,20,57,111,111
26,26,55,117,117
9,9,53,100,100
17,3,49,108,0
30,3,45,121,0
20,4,43,111,32
26,3,43,117,0
3,27,40,0,118
25,4,39,116,32
4,13,39,32,104
10,25,37,101,116
3,12,37,0,103
25,13,35,116,104
9,3,35,100,0
8,3,35,99,0
10,6,34,101,97
13,14,32,104,105
13,4,32,104,32
4,17,31,32,108
14,4,31,105,32
12,3,31,103,0
20,6,30,111,97
17,25,30,108,116
11,3,30,102,0
14,13,30,105,104
20,10,29,111,101
25,6,28,116,97
4,10,28,32,101
3,24,28,0,115
18,3,28,109,0
14,6,28,105,97
6,4,28,97,32
6,6,27,97,97
4,19,26,32,110
9,13,25,100,104
3,26,25,0,117
10,17,24,101,108
25,10,23,116,101
19,25,23,110,116
17,6,22,108,97
19,6,22,110,97
14,14,21,105,105
10,19,21,101,110
23,6,21,114,97
20,19,20,111,110
9,25,20,100,116
24,4,20,115,32
19,4,20,110,32
13,10,20,104,101
20,25,19,111,116
4,26,19,32,117
13,25,19,104,116
10,13,19,101,104
14,25,19,105,116
27,3,18,118,0
20,13,17,111,104
6,25,17,97,116
13,6,17,104,97
26,4,15,117,32
17,4,15,108,32
28,3,15,119,0
4,9,15,32,100
19,19,15,110,110
9,4,14,100,32
25,14,14,116,105
7,3,14,98,0
6,17,14,97,108
30,13,14,121,104
28,13,14,119,104
25,19,13,116,110
25,17,13,116,108
3,14,13,0,105
20,17,12,111,108
30,9,12,121,100
6,19,12,97,110
24,25,12,115,116
24,13,12,115,104
24,6,12,115,97
9,19,11,100,110
9,6,11,100,97
4,20,11,32,111
16,3,11,107,0
3,11,11,0,102
26,6,10,117,97
23,4,10,114,32
23,25,10,114,116
21,3,10,112,0
8,4,10,99,32
6,10,10,97,101
23,13,10,114,104
4,12,9,32,103
23,19,9,114,110
5,3,9,39,0
14,19,9,105,110
5,4,9,39,32
26,17,8,117,108
26,20,8,117,111
6,20,8,97,111
28,6,8,119,97
30,6,8,121,97
12,4,8,103,32
8,6,8,99,97
6,13,8,97,104
19,13,8,110,104
24,9,8,115,100
24,17,8,115,108
26,25,7,117,116
19,10,7,110,101
21,4,7,112,32
11,10,7,102,101
14,20,7,105,111
24,10,7,115,101
19,17,7,110,108
20,26,7,111,117
8,13,7,99,104
14,10,7,105,101
6,14,7,97,105
23,17,7,114,108
26,10,6,117,101
25,20,6,116,111
11,25,6,102,116
12,6,6,103,97
18,6,6,109,97
12,25,6,103,116
21,25,6,112,116
6,12,6,97,103
16,6,6,107,97
16,25,6,107,116
27,4,6,118,32
17,10,6,108,101
10,20,6,101,111
16,4,6,107,32
8,10,6,99,101
24,26,6,115,117
14,17,6,105,108
28,4,6,119,32
15,3,6,106,0
13,17,6,104,108
9,17,5,100,108
6,26,5,97,117
5,6,5,39,97
28,17,5,119,108
28,14,5,119,105
18,13,5,109,104
24,14,5,115,105
7,13,5,98,104
18,25,5,109,116
21,6,5,112,97
28,25,5,119,116
7,6,5,98,97
30,4,5,121,32
8,17,5,99,108
11,6,4,102,97
7,4,4,98,32
28,19,4,119,110
19,12,4,110,103
24,19,4,115,110
8,25,4,99,116
9,20,4,100,111
6,9,4,97,100
20,12,4,111,103
27,25,4,118,116
8,19,4,99,110
23,10,4,114,101
17,13,4,108,104
27,6,4,118,97
30,25,4,121,116
13,19,4,104,110
25,26,4,116,117
26,12,3,117,103
9,27,3,100,118
4,27,3,32,118
25,9,3,116,100
10,12,3,101,103
12,13,3,103,104
11,26,3,102,117
30,19,3,121,110
18,20,3,109,111
19,26,3,110,117
12,12,3,103,103
14,26,3,105,117
13,9,3,104,100
12,19,3,103,110
21,12,3,112,103
21,10,3,112,101
17,26,3,108,117
5,13,3,39,104
23,9,3,114,100
5,20,3,39,111
11,20,3,102,111
24,27,3,115,118
21,17,3,112,108
19,20,3,110,111
10,9,3,101,100
21,13,3,112,104
5,17,3,39,108
26,19,2,117,110
26,27,2,117,118
17,14,2,108,105
20,24,2,111,115
9,26,2,100,117
28,20,2,119,111
27,27,2,118,118
10,14,2,101,105
30,17,2,121,108
7,9,2,98,100
22,3,2,113,0
24,20,2,115,111
27,12,2,118,103
18,4,2,109,32
20,14,2,111,105
19,14,2,110,105
8,9,2,99,100
14,12,2,105,103
24,12,2,115,103
23,26,2,114,117
11,23,2,102,114
30,23,2,121,114
18,14,2,109,105
10,27,2,101,118
27,26,2,118,117
30,14,2,121,105
19,23,2,110,114
29,19,2,120,110
9,10,2,100,101
8,20,2,99,111
30,20,2,121,111
9,14,2,100,105
5,14,2,39,105
11,19,2,102,110
11,4,2,102,32
11,13,2,102,104
17,19,2,108,110
12,20,2,103,111
17,9,2,108,100
28,10,2,119,101
7,17,2,98,108
4,14,1,32,105
26,24,1,117,115
15,17,1,106,108
26,9,1,117,100
29,3,1,120,0
7,25,1,98,116
26,13,1,117,104
23,12,1,114,103
15,4,1,106,32
21,20,1,112,111
17,12,1,108,103
5,19,1,39,110
15,20,1,106,111
28,5,1,119,39
10,24,1,101,115
19,27,1,110,118
7,19,1,98,110
18,19,1,109,110
18,9,1,109,100
19,9,1,110,100
9,24,1,100,115
10,23,1,101,114
17,23,1,108,114
7,23,1,98,114
6,23,1,97,114
25,23,1,116,114
29,25,1,120,116
29,4,1,120,32
20,27,1,111,118
15,12,1,106,103
8,12,1,99,103
10,5,1,101,39
23,24,1,114,115
23,20,1,114,111
10,26,1,101,117
14,9,1,105,100
12,17,1,103,108
11,14,1,102,105
21,27,1,112,118
16,26,1,107,117
7,20,1,98,111
15,26,1,106,117
17,20,1,108,111
15,19,1,106,110
9,12,1,100,103
16,19,1,107,110
27,10,1,118,101
8,14,1,99,105
25,27,1,116,118
16,12,1,107,103
12,10,1,103,101
23,27,1,114,118
24,23,1,115,114
13,20,1,104,111
16,14,1,107,105
29,6,1,120,97
28,26,1,119,117
7,27,1,98,118
20,9,1,111,100
25,5,1,116,39
4,24,1,32,115
5,10,1,39,101
5,25,1,39,116
11,17,1,102,108
18,10,1,109,101
14,23,1,105,114
26,14,1,117,105
12,9,1,103,100
27,13,1,118,104
